Row.names	Chromosome	Start	End	lengths	Direction	C_6	C_7	C_7_2	L12_6	L12_7	L12a_6	L12a_7	a_6	a_7	C_mean	L12_mean	L12a_mean	a_mean	logFC	PValue	FDR	DETE
AT1G03420	1	846664	847739	1075	+	9172.47061300172	9988.43196796415	9137.3605155034	9416.00167676714	9995.5162194684	4955.07621245643	5057.020017695	6124.22546699447	5983.39271407011	9432.75436548976	9705.75894811777	5006.04811507571	6053.80909053229	-0.913898766970428	3.63372008824453e-07	5.57215441041215e-07	No
AT1G06740	1	2070737	2073535	2798	+	825.019694164439	760.276382310784	783.870454343993	739.310982584705	822.701248963794	398.421613350719	349.321835062445	517.499157629347	486.981140733062	789.722176939739	781.006115774249	373.871724206582	502.240149181204	-1.07929450182146	2.0933369118558e-07	3.26194500130131e-07	Down
AT1G08105	1	2531695	2534786	3091	-	0	0	0	2.64518067789823	0	27.1622785747197	35.2795336923613	0	0	0	1.32259033894911	31.2209061335405	0	7.08203695850188	1.63787213518809e-07	2.57871089986675e-07	Up
AT1G08735	1	2790290	2793641	3351	+	6.84308461131134	25.9106732404652	4.32021086509715	19.5195547010049	7.77661895779022	0	0	0	0	12.3579895722912	13.6480868293976	0	0	-5.87615151912919	0.00653353343109481	0.00775563320957298	Down
AT1G08740	1	2795643	2800081	4438	-	5.16700687978916	6.52145606345192	0	5.52698522445927	3.91459367996921	270.108669948123	386.776170641703	31.6875766858708	16.9314795321874	3.8961543144137	4.72078945221424	328.442420294913	24.3095281090291	6.34662402944809	2.74950861265324e-30	1.05997411469109e-29	Up
AT1G10160	1	3328971	3333470	4499	+	666.001422593294	603.096980084456	658.046664042752	568.830259567684	623.635058990907	329.688520630237	366.270757834088	538.331163133626	488.809317713998	642.381688906834	596.232659279296	347.979639232163	513.570240423812	-0.883333409498526	1.13914399273732e-05	1.58214443435739e-05	No
AT1G11150	1	3728971	3731624	2653	+	1313.81034034702	1311.83648573477	1074.99971427112	967.713377787559	1201.63565734548	566.123679481838	724.649137860845	814.748197187478	787.389744197123	1233.54884678431	1084.67451756652	645.386408671342	801.0689706923	-0.93317026501983	0.000127505733526609	0.000165136939025827	No
AT1G11265	1	3781235	3785293	4058	+	71.5775183370432	114.114231679052	94.5394788410361	66.4899863695547	89.9044607653451	45.9770018479047	47.7735233089486	80.8613649846609	54.3164756236126	93.4104096190438	78.1972235674499	46.8752625784266	67.5889203041368	-0.993168693597326	0.00577715817819317	0.00688750794365515	No
AT1G12720	1	4331062	4333220	2158	+	0	0	3.35426937185833	7.57762138589752	0	274.501662816812	209.616111077231	72.4073037441533	48.7482245733952	1.11808979061944	3.78881069294876	242.058886947022	60.5777641587742	7.36315751013719	2.85987771884407e-26	9.83082965852651e-26	Up
AT1G12725	1	4333383	4334033	650	-	0	0	0	0	0	272.686061267473	142.913270016583	96.1568993722355	215.792140778229	0	0	207.799665642028	155.974520075233	7.55571039213359	5.75961594930762e-09	1.01749104029524e-08	Up
AT1G13660	1	4683171	4685640	2469	+	12.3835164209555	11.7222446373429	20.5223139454402	13.2462591743757	28.1457541542379	11.3350348419682	29.4448599009285	25.3146960680247	12.1736583497526	14.8760250012462	20.6960066643068	20.3899473714484	18.7441772088887	0.462036339783687	0.601715723585114	0.618201085875117	No
AT1G15300	1	5265726	5268602	2876	-	419.926505810811	430.208619927116	354.87843391179	406.538333442222	447.009575669697	429.783453383008	398.829740053536	507.086105868882	604.409861818618	401.671186549906	426.773954555959	414.306596718272	555.74798384375	0.0443924417539326	0.839245876500966	0.850587036994223	No
AT1G16620	1	5679819	5681188	1369	+	0	15.8558557393716	5.28744580311926	5.97242766645977	0	85.1783571488299	53.1039876518572	7.60920192256551	18.2960570157896	7.04776718083029	2.98621383322988	69.1411724003435	12.9526294691775	3.17737053286735	0.000101348513563591	0.000132507961473792	Up
AT1G16660	1	5692024	5696458	4434	+	0	3.26366959963911	0	1.84399040942341	0	94.675916863395	107.484142400345	850.463028953805	942.239508955782	1.08788986654637	0.921995204711707	101.08002963187	896.351268954793	6.31883930483348	2.68265300534138e-28	9.83639435291838e-28	Up
AT1G17275	1	5912053	5915313	3260	+	0	4.43899110576682	0	2.5080532133078	0	123.047714117305	61.9456025011865	3.19539798527368	0	1.47966370192227	1.2540266066539	92.4966583092457	1.59769899263684	5.74561013275666	1.48382542498551e-12	3.14693052856824e-12	Up
AT1G17277	1	5915644	5916212	568	-	0	12.738654053521	0	0	0	2890.59353307996	2538.50461630038	568.533310548869	343.959429623247	4.24621801784032	0	2714.54907469017	456.246370086058	8.92463543464089	7.12616664968595e-44	4.08269964304924e-43	Up
AT1G17390	1	5958628	5959651	1023	-	0	0	0	15.984855279342	33.9647443826068	387.557361862115	173.714119702252	0	29.3809994775553	0	24.9747998309744	280.635740782184	14.6904997387777	8.64202802388809	7.60774125127544e-12	1.56518367389083e-11	Up
AT1G20390	1	7065494	7071561	6067	+	3188.77027656549	3377.46714732101	4206.85642188267	4169.66017023839	6613.2959803954	3355.08437097721	3331.87088870977	5216.22518516437	5618.81953128931	3591.03128192305	5391.47807531689	3343.47762984349	5417.52235822684	-0.103071544656381	0.709263434097432	0.726330343547833	No
AT1G21020	1	7353540	7357981	4441	+	0	6.5170506664264	0	0	3.91194927982512	196.405448909452	245.550638691936	2.34564229497685	19.1760475086003	2.17235022214213	1.95597463991256	220.978043800694	10.7608449017886	6.54968724433763	1.27828946057988e-10	2.48723774759057e-10	Up
AT1G21040	1	7359983	7363334	3351	-	13.6861692226227	32.3883415505815	4.32021086509715	19.5195547010049	7.77661895779022	0	0	0	0	16.7982405461004	13.6480868293976	0	0	-6.31018632269801	0.00171194932340888	0.00210172349972072	Down
AT1G21220	1	7428112	7428930	818	-	457.87597803289	415.734851604885	539.791334440937	569.738934103735	414.147740413466	307.916637192391	236.998725657351	312.000534332284	300.077701876817	471.134054692904	491.9433372586	272.457681424871	306.03911810455	-0.79320702962002	0.0126836358156164	0.0146554615516576	No
AT1G21260	1	7442218	7442979	761	-	2259.97140596297	1844.54371546069	1911.88064940673	2256.25917191921	2066.03612487405	1274.88607384198	902.240549439095	1197.74937621461	1408.70503014134	2005.46525694346	2161.14764839663	1088.56331164054	1303.22720317797	-0.883019537829826	0.000684983479475742	0.000862765451248072	No
AT1G21290	1	7449964	7450695	731	-	31.3695985396776	19.7963214839943	19.8044139657189	0	11.8830141940515	114.854450170258	143.652784350221	121.127877116188	102.793305285701	23.6567779964636	5.94150709702577	129.253617260239	111.960591200945	2.41391883343409	0.000129132587923978	0.000166981794729282	Up
AT1G21945	1	7717826	7722120	4294	+	19.5810388027905	47.1810791959007	28.6573652016755	26.6575567432156	28.321091584053	10.8625217453887	11.286967721688	21.833483206318	23.3323726638248	31.8064944001222	27.4893241636343	11.0747447335384	22.5829279350714	-1.51139445384072	0.00307249085111378	0.00372218054650348	Down
AT1G22560	1	7970248	7974396	4148	+	5.52824892297597	5.23304399884275	13.9604885332117	3.94226300645295	8.37655098924945	74.2160586482679	58.4212143164517	37.6699521407625	31.399703636452	8.24059381834348	6.1594069978512	66.3186364823598	34.5348278886072	2.97313847158294	2.03646000761015e-10	3.89809630227e-10	Up
AT1G24370	1	8643761	8645626	1865	-	24.5910740294952	19.3982721243965	46.5748845327846	8.76810024169804	13.9728955107534	20.0080078819085	34.649679640342	22.3420856450234	37.604528553847	30.1880768955588	11.3704978762257	27.3288437611252	29.9733070994352	-0.13201620245464	0.929522981271558	0.939775072976759	No
AT1G25430	1	8927732	8933058	5326	-	70.3234228371956	78.7950092262851	89.6999395597142	33.7734841266307	40.7739550124469	1552.7454755603	1844.25294488249	598.498162634173	458.056181021328	79.6061238743983	37.2737195695388	1698.4992102214	528.277171827751	4.41199815540752	1.24377562598838e-58	1.23628300173544e-57	Up
AT1G26990	1	9368531	9373180	4649	-	1.64416552179711	1.55636814420303	0	5.27613689527861	0	94.3107082646103	159.851366764086	4.48139274338231	6.46521025285849	1.06684455533338	2.63806844763931	127.081037514348	5.4733014981204	6.71576409780546	5.51550108330927e-21	1.59659241885268e-20	Up
AT1G27285	1	9476197	9480516	4319	+	293.785236119141	269.720869619446	273.183067522263	297.215048769437	211.178688229781	183.593971375292	238.459733082826	212.247227139456	202.976515839675	278.89639108695	254.196868499609	211.026852229059	207.611871489566	-0.400044347564523	0.124111281695208	0.135081540103624	No
AT1G30340	1	10696999	10701393	4394	+	3.47916500265579	1.64668991861627	0	3.72155369839937	1.97689653524162	24.415211029087	28.4944132397356	5.92683058260821	9.12054694751604	1.70861830709069	2.8492251168205	26.4548121344113	7.52368876506212	3.85464614761169	1.85891957848532e-07	2.91007334392863e-07	Up
AT1G30390	1	10723454	10725016	1562	+	19.5742010520737	0	41.7071829322871	0	16.6833867654001	107.501412387271	51.713870461938	123.376730148435	76.969942293314	20.4271279947869	8.34169338270007	79.6076414246045	100.173336220874	1.93454755154775	0.0213465402374207	0.0242240656064265	Up
AT1G30835	1	10966907	10968878	1971	+	6325.17316497793	6145.26631710677	6812.50237432387	5708.02880879127	5909.98184019132	2617.34638368429	2840.10687485805	4362.87741253655	3921.66281788659	6427.64728546953	5809.00532449129	2728.72662927117	4142.27011521157	-1.23578655991227	6.72555240427265e-11	1.33379344555888e-10	Down
